	detect	gene
0	0	BTN3A3
1	0	SLFN5
2	0	TMEM123
3	0	NCOA7
4	0	SAMD9
5	0	SMTNL1
6	0	RTP4
7	0	IFI44L
8	3	IFIT3
9	1	OAS1
10	0	IFI44
11	0	RSAD2
12	3	IFIT1
13	0	CMPK2
14	0	HERC5
15	3	SERPING1
16	0	GBP5
17	0	OAS2
18	0	XAF1
19	0	ZBP1
20	0	EPSTI1
21	0	ZCCHC2
22	0	GALM
23	0	SIGLEC1
24	0	BATF2
25	0	BTN3A1
26	0	IFIT5
27	0	OAS3
28	0	GBP1
29	3	IFIT2
30	3	STAT1
31	0	PARP14
32	0	SAMD9L
33	0	TRIM5
34	0	GBP4
35	0	RNF213
36	0	HERC6
37	1	DDX58
38	3	STAT2
39	0	GBP3
40	0	APOL6
41	1	IFIH1
42	0	DTX3L
43	0	USP18
44	0	DDX60
45	0	MX1
46	0	H4C8
47	0	H2BC8
48	0	OASL
49	0	PARP9
50	0	ETV7
51	0	EIF2AK2
52	0	PCGF5
53	0	SEPTIN4
54	0	H2BC9
55	0	H2BC17
56	0	TRIM22
57	0	FCGR3B
58	0	H2BC11
59	0	CARD17
60	0	IFI6
61	0	OTOF
62	0	DEFA3
63	0	H2BC5
64	0	H2BC7
65	0	H2BC4
66	0	TPPP3
67	0	IFI27
68	0	DEFA1
69	0	DEFA1B
70	0	CTSG
71	0	WLS
72	0	SAP30
73	0	TPST1
74	0	CAMP
75	1	LY6E
76	0	DEFA4
77	0	VNN1
78	0	PATL1
