gene	KICH	Rank
2064	69.58398429648709	1.0
2549	69.30569039391692	2.0
3667	68.44592041878582	3.0
8660	67.16244198891559	4.0
1956	65.81071708580106	5.0
3480	63.95197678340134	6.0
9846	60.34852179800694	7.0
5294	60.03355730232197	8.0
5159	55.78895092970239	9.0
3815	55.781005613451526	10.0
5295	55.76028616605286	11.0
5156	55.10886485870804	12.0
2353	53.24124839389481	13.0
5590	52.95987928874839	14.0
3717	51.381010359452496	15.0
3563	51.26611019766161	16.0
118788	51.20233260768941	17.0
10811	50.54641815267845	18.0
54331	48.58731340887295	19.0
5881	47.64994961792742	20.0
5587	47.49448847024953	21.0
2324	47.36248610163443	22.0
53820	47.14269067205387	23.0
2786	47.12557239980439	24.0
596	47.0417492775674	25.0
8471	45.98978688493802	26.0
3791	45.63090136564352	27.0
2065	45.44159026058529	28.0
6197	45.34834037224788	29.0
3643	45.09987722961428	30.0
5580	44.95635683594438	31.0
816	44.355007016872335	32.0
3479	44.287980137007935	33.0
22808	43.61031419736216	34.0
5579	43.19986141714645	35.0
25	43.080849879584704	36.0
51196	42.34829143808359	37.0
3716	42.27639623999406	38.0
6237	41.55239262885811	39.0
6850	41.51744211330077	40.0
5163	40.73097002527442	41.0
10681	39.78266884696903	42.0
7424	39.33564082682527	43.0
2792	38.87919955438667	44.0
1027	38.76821731632225	45.0
7412	38.607438242762285	46.0
2277	38.57487929404137	47.0
2268	38.07705755768737	48.0
5567	37.73886168002254	49.0
6196	37.36399491249378	50.0
3856	37.17491851200891	51.0
8844	36.93992639832221	52.0
5578	36.585653940926896	53.0
10451	36.53551285554749	54.0
4776	36.49025679596413	55.0
6195	35.86359853276816	56.0
9252	35.24063365428388	57.0
4217	35.09405075703128	58.0
344558	34.964304010072745	59.0
2791	34.95157091652679	60.0
7409	34.91439947551806	61.0
2784	34.34691569394388	62.0
4804	34.114632610460504	63.0
4773	33.902441299814306	64.0
817	32.98203447165304	65.0
2264	32.58472944816258	66.0
9475	32.578195818137075	67.0
55970	32.12239667559212	68.0
5292	31.771982830384733	69.0
4772	31.57962178029151	70.0
2047	31.44523118214474	71.0
79660	30.60432213301305	72.0
7124	30.31598160262524	73.0
5583	30.211634757287957	74.0
1852	30.177487790287664	75.0
27330	30.11804528762815	76.0
4215	30.02157994249921	77.0
6425	30.014229886536597	78.0
1843	29.892385076631847	79.0
5801	29.78577012075369	80.0
5600	29.4542513220393	81.0
6424	29.29839289432935	82.0
51806	28.98439651675132	83.0
10290	28.48392873905476	84.0
29760	28.152659740838537	85.0
