Gscore	NEA	ROntoTools	SPIA	CePaORA	CePaGSA	PADOG	GSA	GSEA	ORA
61	97	61	66	99	166	52	134	106	55
106.5	39	90	84	71	87	40	121.5	109	103
49	108	93	128	103	84.5	45	123	64	118
69	119	143	97	78.5	87	92	81	109	130
54	76	91	97	159	85.5	40	105	124	101
122	80	114	121	146	87	69	99	135	109
35	22	46	38	121	81	7.5	53	72	35
120	44	128	118	59	74	47	110	128	112
81	81	44	54	59	84.5	18.5	138	21	45
74	75	117	127	154.5	82.5	46	69	46	116
