GeneSet_ID	N	M	n	m	p_value	FDR_q_value
hsa04921	15500	1730	100	9	0.7986815538340253	1.0
hsa04932	15500	1730	200	0	1.0	1.0
hsa04933	15500	1730	100	22	0.0013178577828438709	0.007783597529921612
hsa04934	15500	1730	100	0	1.0	1.0
hsa04935	15500	1730	100	22	0.0013178577828438709	0.007783597529921612
hsa04936	15500	1730	200	3	0.9999999843897063	1.0
hsa04970	15500	1730	200	18	0.8637386467394222	1.0
hsa04972	15500	1730	100	9	0.7986815538340253	1.0
hsa04973	15500	1730	100	13	0.32291312198150146	1.0
hsa04974	15500	1730	200	1	0.9999999999553572	1.0
hsa04975	15500	1730	100	4	0.9970766896198584	1.0
hsa04979	15500	1730	200	4	0.9999998631620621	1.0
hsa05010	15500	1730	800	23	1.0	1.0
hsa05012	15500	1730	600	17	0.9999999999999968	1.0
hsa05014	15500	1730	400	0	1.0	1.0
hsa05016	15500	1730	400	0	1.0	1.0
hsa05020	15500	1730	400	0	1.0	1.0
hsa05022	15500	1730	700	17	1.0	1.0
hsa05034	15500	1730	800	28	0.9999999999999999	1.0
hsa05120	15500	1730	100	0	1.0	1.0
hsa05130	15500	1730	100	0	1.0	1.0
hsa05132	15500	1730	200	12	0.9957847086839963	1.0
hsa05133	15500	1730	100	23	0.000538407701144011	0.004070362220648723
hsa05140	15500	1730	200	22	0.5627728284078597	1.0
hsa05143	15500	1730	300	6	0.999999999794701	1.0
hsa05144	15500	1730	300	6	0.999999999794701	1.0
hsa05145	15500	1730	100	22	0.0013178577828438709	0.007783597529921612
hsa05146	15500	1730	200	24	0.38495880746698846	1.0
hsa05150	15500	1730	600	57	0.9192847684786105	1.0
hsa05152	15500	1730	400	31	0.9911958762696095	1.0
hsa05160	15500	1730	1200	238	3.645245110639194e-20	2.2965044197026926e-18
hsa05161	15500	1730	800	119	0.0005831460915726582	0.004239023511816631
hsa05162	15500	1730	900	212	8.878005145115284e-28	8.389714862133944e-26
hsa05163	15500	1730	200	0	1.0	1.0
hsa05164	15500	1730	1000	236	4.104793889545009e-31	7.758060451240066e-29
hsa05165	15500	1730	1000	130	0.03356716437158493	0.13217070971311567
hsa05166	15500	1730	700	60	0.9908103951111366	1.0
hsa05167	15500	1730	400	67	0.00043233764942860386	0.004070362220648723
hsa05168	15500	1730	900	188	2.0386103369671074e-18	9.632433842169583e-17
hsa05169	15500	1730	1100	180	4.337271809810872e-08	1.0246804650678186e-06
hsa05170	15500	1730	700	69	0.8828358813622404	1.0
hsa05171	15500	1730	1100	212	1.5967033864549203e-16	6.035538800799599e-15
hsa05200	15500	1730	900	85	0.9614319820571456	1.0
hsa05202	15500	1730	800	99	0.14446662912582303	0.5056332019403806
hsa05203	15500	1730	1300	96	0.9999992023372521	1.0
hsa05205	15500	1730	100	0	1.0	1.0
hsa05206	15500	1730	400	28	0.9982446557805457	1.0
hsa05207	15500	1730	500	49	0.8548370124049915	1.0
hsa05208	15500	1730	400	0	1.0	1.0
hsa05210	15500	1730	200	13	0.9909749549502289	1.0
hsa05211	15500	1730	100	0	1.0	1.0
hsa05212	15500	1730	300	22	0.99007693330359	1.0
hsa05213	15500	1730	100	0	1.0	1.0
hsa05214	15500	1730	200	0	1.0	1.0
hsa05215	15500	1730	300	12	0.9999979424478943	1.0
hsa05218	15500	1730	200	0	1.0	1.0
hsa05219	15500	1730	200	0	1.0	1.0
hsa05220	15500	1730	100	0	1.0	1.0
hsa05221	15500	1730	300	29	0.8211637598143393	1.0
hsa05222	15500	1730	100	0	1.0	1.0
hsa05223	15500	1730	200	0	1.0	1.0
hsa05224	15500	1730	200	0	1.0	1.0
hsa05225	15500	1730	100	0	1.0	1.0
hsa05226	15500	1730	200	0	1.0	1.0
hsa05231	15500	1730	100	0	1.0	1.0
hsa05235	15500	1730	400	45	0.5014113695295331	1.0
hsa05310	15500	1730	100	12	0.44103532705790216	1.0
hsa05321	15500	1730	200	22	0.5627728284078597	1.0
hsa05322	15500	1730	1000	41	1.0	1.0
hsa05340	15500	1730	100	18	0.027310199129399384	0.1098218645841805
hsa05410	15500	1730	100	0	1.0	1.0
hsa05412	15500	1730	100	0	1.0	1.0
hsa05414	15500	1730	100	0	1.0	1.0
hsa05415	15500	1730	300	0	1.0	1.0
hsa05417	15500	1730	300	29	0.8211637598143393	1.0
hsa05418	15500	1730	200	12	0.9957847086839963	1.0
